symbol	base_avg	l2fc	l2fc_se	test_stat	pval	padj
UBR5	5192.683050108173	-0.33492017976988203	0.07949309211265235	-4.213198541770841	2.517795581380925e-5	3.467726807332735e-5
NOTCH2	5875.439868775438	-0.6522009495496678	0.07496070042979804	-8.700571710378627	3.3021630540337372e-18	7.125492898350867e-18
LL22NC03-63E9.3	5.72151533354261	4.192058416149631	0.2762259797491157	15.17619168174224	5.084582609141703e-52	2.706853940072122e-51
LAMTOR2	1983.2316200453315	1.971265959877163	0.0791474526817973	24.906246418345233	6.366735177644274e-137	2.1835855638563337e-135
TIMP4	132.4912403646473	-4.017984861262183	0.25388069672935804	-15.826271603254012	2.050149490013036e-56	1.2215389884172911e-55
CASP16	7.417466517803298	0.13553966359311398	0.17698594932381767	0.7658216039801409	0.44378245767207675	0.46716246762660224
SEPT8	2406.508328760358	-0.38794509333577615	0.05840645816494111	-6.642160910360474	3.0911722008051923e-11	5.343286703430698e-11
GGT7	1385.3596289718212	-0.40395751565111554	0.10243599277829075	-3.943511501132502	8.029713864481436e-5	1.0802747732169595e-4
APEH	4045.3858195884263	1.308146581473148	0.05822061953783321	22.46878497442099	8.38539792838154e-112	1.7190539504477548e-110
ASXL1	4780.477420530435	-0.7905897052502832	0.07596383646572753	-10.407448360075549	2.2928491003911923e-25	6.069326120279749e-25
GNG10	1762.725067961469	0.4069806870704379	0.06674196487980673	6.097822978441752	1.0752271997617746e-9	1.754302795438658e-9
GORASP1	2804.337391937223	-0.23606345792199432	0.06268478493159121	-3.7658812769257115	1.6596264556963502e-4	2.201389295635245e-4
SPERT	7.268635193381326	2.785909023162127	0.3717365819544177	7.494309568660463	6.664825419266702e-14	1.2567026354370795e-13
STAU1	5784.43207791809	0.6488939679797022	0.04913836573197504	13.205444631982491	8.161636359540846e-40	3.1837576536475935e-39
KCNS1	64.14033640509282	5.5245949984731215	0.25382601994441795	21.765282376026228	4.950402648475251e-105	8.840074335756544e-104
YTHDC1	4058.267414019112	-0.548063673664803	0.04031112399460337	-13.595842024602806	4.238543796806284e-42	1.7481223029201277e-41
GNA12	3161.659234609425	-0.7963859184368063	0.05924886513188495	-13.441370002009183	3.4597144832538407e-41	1.3976753477994751e-40
AKR1E2	77.34975181608829	-0.032463123626349843	0.18196825294990596	-0.17839993020808206	0.8584089041107674	0.8689456423189004
LDLR	2559.6604845699135	-0.4914202584370011	0.1358932990310929	-3.6162214173972056	2.9893470481582267e-4	3.9133937148953536e-4
RNF169	985.7456921026884	-0.9389330036806486	0.09597055008455767	-9.783553421892176	1.3247603305003708e-22	3.2466738722501997e-22
KRT9	10.334140968410562	1.681892414654696	0.3920346190207473	4.290162993400557	1.7854203153154295e-5	2.474438987149021e-5
ORMDL2	1493.0947900702397	1.4549791064615658	0.07482171417185512	19.445947243599367	3.153958871259534e-84	3.623956668857614e-83
RAC1	12966.105964430317	0.4522594488237799	0.04925873997567641	9.181303643720934	4.259036251858032e-20	9.720932786194524e-20
CIZ1	4714.147714373739	-0.6472127010766918	0.05840526880796143	-11.081409507843373	1.5442217132889121e-28	4.484843051736951e-28
LYST	1384.2532810978373	-1.4609919659324089	0.10541629865223003	-13.859260708367723	1.1181999408018191e-43	4.8063258767987215e-43
SHISA9	130.46871154574515	4.532481164127961	0.26459072783301274	17.13015872192044	8.841318524787107e-66	6.593014467538532e-65
B4GALT6	206.48372490091532	-0.09122766221010477	0.12754239003047427	-0.7152732686623431	0.4744402028838569	0.49773150230842
AUH	555.3381721991805	-0.24225359044812822	0.06631064556176387	-3.653313708467601	2.588776276663621e-4	3.401518539072137e-4
NT5DC1	1218.4580651147958	0.6235681802302717	0.06316579177142005	9.87192850343421	5.509500809096765e-23	1.3678006729535115e-22
SERINC4	21.83475692706197	-1.2349938336860062	0.12574807598267015	-9.821174789634203	9.127358540233892e-23	2.250274031736153e-22
