Hugo_Symbol	Entrez_Gene_Id	GTEX-ZLWG-1026-SM-4WWC4	GTEX-13OVJ-2326-SM-5IJGA	GTEX-14BIM-2226-SM-5SI8Y	GTEX-Q734-1626-SM-48U1B	GTEX-S7SF-0826-SM-4AD4W	GTEX-12WSD-2826-SM-59HKT	GTEX-145ME-1326-SM-5O98Q	GTEX-S341-1026-SM-4AD71	GTEX-P4PP-2026-SM-3P61N	GTEX-113JC-2226-SM-5EGJG
CLECL1	160365	5	3	6	2	2	1	4	5	5	1
NXPH1	30010	0	1	0	0	0	0	0	0	0	0
GPSM2	29899	738.94	1068.84	954.27	519.9	579.45	1221.92	862.98	1167.68	616.4	836.28
CCDC146	57639	532.9	563.84	640.96	574.72	305	1332.26	493.89	327	610	842
MXI1	4601	2054	4577	5070	3044	2451	3300	2191	1983	3008.99	4024
CYP2B6	1555	0	0	0	1	0	1	0	0	1	0
ZNF311	282890	106	59	117	117	51	117	46	61	221	50
HIST1H3A	8350	1	0	0	0	0	1	0	1	0	0
ZNF599	148103	272	275	405	395	259	448	291	206	791	330
GNA15	2769	72	141	43	84.99	54	29	61	94.99	17	17
DCAF12	25853	962	1075	1209	1071	1050	1022	1206	748	1191	842
NOS3	4846	1137.12	3159.89	2001.96	2450.78	2718.59	1325.25	1991.97	746.72	431.62	476.97
NOC3L	64318	909	737	839	377	541	814	543	446	1297	476
C20orf197	284756	10	2	5	7	3	4	40	6	3	3
LRGUK	136332	14	12	14	2	25	23	6	7	26	30
CRYBB3	1417	1	2	1	1	5	4	0	2	4	2
SLC16A7	9194	118	235	207	88	118	162	113	88	58	132
MAP9	79884	690.93	325	349	334	438	469	719	536	658.82	282
C1orf174	339448	1054	1013	1155	1299	548	1361	869	607	2012	608
HIST1H2BB	3018	0	0	0	0	1	0	0	0	0	0
C1orf189	388701	0	1	0	1	0	0	1	0	0	0
ZNF71	58491	409	321	453	534	401.21	509	381	356	704	355
AP3M2	10947	629	661	1104	1104	700	1065	689	496	1303	756
SYN1	6853	36	42	32	31	44	32	27	37	81	14
FAM211A	388341	107.58	115.27	183.92	234.47	194.72	178.85	155.73	150.47	136.25	99.63
CT45A5	441521	0	0	0	0	0.33	0	0	0	0	0
C19orf35	374872	23	6	6	4	9	6	23	21	12	10
PCNA	5111	1435	467	744	941	722	710	901	653	1259	443
C5orf15	56951	1349	848	1110	862	938	1053	1286	762	1544	973
KRTAP5-11	440051	0	0	0	0	1	0	0	1	2	0
PNRC1	10957	2494	4850	5349	3293	2962	4703	2548	1938	4590	5393
RP11-279O9.4	0	34	15	5	4	11	15	0	1	13	7
RAC3	5881	24	41	80	109	23	79	52	20	63	60
ACBD3	64746	1615.72	2201.53	1921.93	1185	1114.89	1179.81	1376.37	930.46	1538.67	1062
COX6C	1345	2804	2527	2744	2076	1936	2319	3078	1912	3249	1883
SVOP	55530	1	2	1	0	0	0	0	2	3	0
BCL2L11	10018	582	845	1314	944	586	1053	257	344	1558	1299
PIH1	0	0	0	0	0	0	0	0	0	0	0
TCEB3B	51224	0	3	0	0	1.07	1	0	1	0	1
DSG1	1828	8	1	13	1	2	20	4	2	2	17
UTP14A	10813	614.69	883.34	675.4	693.35	664.56	655.11	569.16	457.99	1002.8	382.06
FKSG61	0	5	4	6	4	2	14	6	3	15	3
MX1	4599	1190	1001	2076	949	1642	3802	575	849	3398.2	2149.96
PCDHA3	56145	291.39	61.65	191.47	152.23	155.98	227.57	88.04	59.3	384.8	91.24
FOXJ1	2302	1	4	2	0	32	1	0	0	44	0
KLHL10	317719	14	15.02	14	15.04	28.11	29.03	15	24	49.25	9
DHRS13	147015	150.71	248.45	222.62	205.45	134.29	230.93	86.33	118.92	460.31	83.58
COX18	285521	299	510	451	205	291	518	295	284	549	325
DCDC2B	149069	17.31	25.04	12.65	16.26	13.1	33.92	17.53	8.72	81.71	17.51
FBXO6	26270	186	327.22	251.52	215.2	167	196	117	95	450.18	171.13
RANBP10	57610	1416	2326	2382	3007	1847	2831	1707	981	3520	2008
TTC29	83894	3	4	4	0	2	3	2	1	3	1
IFT140	9742	1649	1875	1355	2007	1300	2650	1558	911	3863	1523
MXRA5	25878	480.89	235.85	246	368.86	200.95	1142.75	2840.01	295	487	2167.96
URB1	9875	2611	4147	2157.52	3505	3519	4029	3730	2079	3649	2742
GRAMD2	196996	6	3	2	5	31	11	4	12	42	5
MTMR7	9108	247.12	118.46	169.87	47.1	75	108.32	79.47	58.62	152.57	88
GAB1	2549	1625.98	2112.72	2257.69	3411.15	2388.61	3333.52	3305.77	1109.46	1992.8	3457.35
AC006156.1	0	0	0	0	0	0	0	0	0	0	0
ATG4A	115201	317	285	381	250	229	276	285	396	315	164
CCAR2	57805	3766.35	3599.37	2762.76	3527.42	2792.42	3686.88	3081.7	2322.95	6746.33	2235.16
CMC1	152100	454.72	880.69	864.86	461.63	460.75	1075.9	459.59	313.06	794.67	590.2
SGIP1	84251	186	552	579	1145	601	904	279	235	4709	848
AC005606.1	0	0	0	0	0	0	0	0	0	0	0
SUCLA2	8803	1337.01	884.94	1365.68	1228.1	992	1199.44	1401.46	1181.6	1441.76	1120.68
RACGAP1	29127	249	158	288	210	106	209	180	111	305.83	161
KLK3	354	1	21	0	16	11	82	18	18	22	0
VGLL4	9686	3917.38	5898.51	5023.89	5875.75	4785.63	6907.58	2582.33	1330.67	10496.29	6616.01
OBP2A	29991	0	1	0	0	0	1	0	0	0	0
FAM160B1	57700	1953	3221	1895	2071	1747	2611	2370	1497	3354	1972
PSMD9	5715	1181.68	1109.47	1169.3	1132.61	899.6	1036.38	1008.34	1011.5	1337.98	913.54
NPIPB9	728734	18.61	151.21	64.73	143.94	21.81	102.86	53.1	16.2	140.84	83.5
SLC9B1P1	0	0	0	0	0	0	0	0	0	0	0
DCAF17	80067	953	1248	1888	1446	669	1528	934	602	1413	1001
ITLN1	55600	0	4	4	3	7	3	8	0	5	6
SNRNP40	9410	921	867	760	861	543	839	817	575	1336	490
SLC26A6	65010	840	1318	1630	1447	800	1432	1043	722	2007	1116
ZMYM6	9204	954.79	1323.19	1397.19	912.38	667.52	1535.06	730.9	701.8	1766.6	948.72
EXOC6	54536	343	297	671	620	508	475	285	334	297	412
CAMKK2	10645	2533	2288	2661	2063	1678	2810	1619	2133	4003	2066
SLAMF8	56833	68.54	307.73	213.49	217.29	123.59	196.08	96.74	65.98	433.09	239.31
TGFB2	7042	383	231	189	373	1176	530	1065	323	74	575
LRRC29	26231	88.12	135	123	80.16	154	178	65.64	70.89	229	157.66
CYFIP1	23191	3849.49	3273.56	3362.43	3390.31	3749.19	4356.27	4343.88	1848.77	4774.08	2914.2
C1orf195	727684	0	0	0	0	0	0	0	0	0	1
TRIM10	10107	2	4	4	1	0	2	0	3	0	0
SLC22A18AS	5003	23	9	15	11	39	24	12	8	15	7
FAM212B	55924	749	240.24	332	434	282.97	234	658	1546	269.99	130
PHF23	79142	1118	714	931	1167	731	518	969	774	623	467
RLN1	6013	1	0	2	1	2	2	1	1	2	0
LRIF1	55791	303.7	149.37	649.86	371.98	192.36	246.92	152.61	145.22	612.21	151.25
TMEM30C	644444	0	0	1	0	0	0	0	0	0	0
NDC80	10403	174	65	170	183	71	177	110	196	28	158
SSMEM1	136263	0	0	0	0	0	0	0	0	0	1
METTL1	4234	397	365.49	306.89	286.97	249	224.27	305.95	233.83	372.72	151.74
GAN	8139	599.38	927.84	916.58	864.68	414	1207	669.19	356.69	725.95	834
TRPM2	7226	150	68	71	169	176	108	170	102	61	45
PC	5091	418.55	344.17	354.36	335.39	209.36	413.66	280.03	308.37	624.21	253.98
C7orf76	401388	0.5	0	0	0.5	0.5	1.5	1.5	0	0.5	0
TAGLN2	8407	8581.27	19929	11019	6852	8610	8937.9	7585	6401	4504	10111
ARL17A	51326	882.61	1360.1	1026.88	485.5	699.15	911.78	388.87	261.68	2247.37	1612.93
TAF7	6879	4608.04	3814.39	4191.06	3456.8	2315.67	3284.46	2811.02	2035.56	5528.93	2450.99
NIT1	4817	943.87	1738.96	1225.81	1296.66	970.21	1441.44	928.06	631.19	1794.54	1068.05
C10orf126	283080	0	0	0	0	1	0	0	0	0	0
BTK	695	78	48	58	127	88	85	119	81	17	58
CYP3A7	1551	6	9	7	3	9	12	2	3	81	2
ANP32E	81611	1432	2106	1867	1011	1048	1229	1061	922	1811	1186
KRR1	11103	1517.4	1430.28	1577.63	965.77	840.04	1223.71	1046.34	741	1633.83	897.91
C2orf80	389073	0	0	0	0	0	0	0	0	0	0
FADS3	3995	2423	6764	3623	2958	1428	3400	1631	2647	3498	2392
ATP5F1	515	2672.44	2067.34	2331.84	1750.94	1779.02	1993.21	2360.27	2325.63	2923.82	1514.21
RNF150	57484	2790	1303	2821	1534	772	2060	2972	1915	3491	1504
PEX7	5191	155	204	222	92	142	190	119	128	306	101
OR8B3	390271	0	0	0	0	0	0	0	0	0	0
FBN3	84467	6	1	5	3	6	43	3	2	124	39
KRTAP10-3	386682	0	0	0	0	0	0	0	0	0	0
THRA	7067	4357.55	6805.96	6331.2	6860.37	2597.82	4786.91	3288.42	3046.42	8685.2	4025.53
CD5	921	46	16	52	54	25	53	19	10	29	33
KRT81	3887	2	0	2	0	1.22	0	0	1.27	12.83	0
EFCAB2	84288	395.9	604.26	745.56	332.9	296.26	559.52	474.57	286.32	805.61	364.76
C3orf80	401097	10	21	21.26	31.64	11.39	25.75	8.29	75	15	13
C1orf106	55765	9.81	1	4	3	25	0	2	4	36	2
AGPAT6	137964	3384.19	4861.36	4217.31	4318	3528.01	4766	3696	1946	5469	3256.98
LRRC71	149499	13	17	5	17	9	20	9	8	9	7
TMEM207	131920	0	0	0	0	0	0	0	0	0	0
SSH3	54961	1300	2051	1990	1798	1230	2002	1088	1130	3809.88	1465
GIF	2694	2	8	1	7	9	6	0	2	9	0
ZBTB7A	51341	2470	1900	1900	2574	1738	1845	1835	1630	2454	1551
HEATR2	54919	1183	1071	901	991.73	811.97	1066.68	1176	772	1557.93	761
AL646016.1	0	0	0	0	0	0	0	0	0	0	0
ZBTB34	403341	690	540	659	781	504	645	608	341	984	412
DCUN1D5	84259	516	392	513	401	338	361	401	267	469	247
TIMM8B	26521	353.05	363.84	361.76	379.34	335.1	311.85	321.05	503.34	501.37	220.69
LAMB2	3913	15581	13271	15335	19785	13369	20953	15417	14259	21951.01	17127.99
SLC17A1	6568	0	0	0	0	1	0	1	1	0	0
TRAF3IP3	80342	126	79	128	184	112	140	169	89	152	149
KAT6A	7994	3185	4801	3723	3306	2481	3784	3200	1749	5449	3242
UCMA	221044	0	0	1	1	0	0	0	0	15	5
RNF216	54476	2588.73	2510	1988	2480.98	2518.75	2687	3539.08	3068	4396	1943
PAQR7	164091	795	1231	1007	985	444.97	1262	1204.06	1093.71	1655.22	763
LDB3	11155	2247	1020	1777	745	780	775	2032	5609	276	1070
CCDC28B	79140	129.65	210.8	193.41	187.02	148.26	280.76	198.99	159.27	451.4	146.46
NLRP12	91662	18	12	4	2	14	6	6	12	4	0
CD244	51744	4	6	15	8	7	26	8	4	6	15
SLC35A4	113829	2371	1234.53	1626	2194.13	1641.36	1626.2	1786.24	1927.8	3313.86	1174.22
WDR16	146845	7	5	6	8	7	10	4	1	7	7
TCN2	6948	1149.84	1435	1103.61	693.83	1374.83	988.27	1318.79	1294.7	857.57	734.99
AIF1	199	188	144	99	179	215	97	178	259	78	43
GTPBP2	54676	1668	3466	2441	2511	2006	3163	1727	1243	3583	2412
ARR3	407	0	0	0	0	0	0	3	1	3	0
CGRRF1	10668	477	440	648	380	340	435	379	384	558	354
CHST8	64377	22	30	29	33	36	21	24	35	25	14
PEX1	5189	1387.45	1799.35	1647.67	1280.51	1085.08	2039.79	1109.58	848.13	2656.2	1161.82
PCDHB15	56121	803.62	1171.08	523.9	531.93	378.7	866.83	636.07	193.37	2000.98	350.6
DIO1	1733	0	4	7	15	2	14	7	4	10	3
OR4F21	441308	0	1.25	0.25	0	3.24	0.75	0	3.61	3.26	0
IGSF9	57549	44	88	64	214	74	152	81	5	91	120
SLC25A53	401612	77	109	90	68	62.89	92	71	42	137	64
NBEA	26960	1942.94	1469	1317	1253.91	943	1853	1328	1027	2381	1543
NCEH1	57552	178	137	172	169	244	217	247	125	293	172
RAET1L	154064	0	0	0	0	0	1	0	0	0	1
WNT2	7472	24	108	56	170	54	19	176	6	3096	40
BACH2	60468	502	697	320	1213.98	638	871.56	989.95	67	1119	1438.98
ZNF14	7561	264	203	927	415	240	317	219	122	573	191
ITIH3	3699	213	188	300	482	177	201	177	260	55	405
ZPBP	11055	0	3	1	2	0	3	0	0	0	3
STAT3	6774	8418	15874	7830	8068	7124	5525	10806	6356	7353	5336
HAP1	9001	71	275	221	442	208	253	67	28	1742	124
IQCG	84223	221	123	144	118	148	285	241	252	304	179
ASGR1	432	32	53	55	52	43	53	31	40	51	38
PNLIPRP3	119548	0	0	1	0	0	0	0	0	0	0
TNPO1	3842	3200	4260	4047	3135	3008	4124	4229	2396	4909	3483.97
TSPAN9	10867	3176	4245	3378	3913	3164	3749	2729	2650	7992	3077
ASB12	142689	0	2.42	5.13	3.69	9.94	5.52	2.5	3.4	9.7	0
B3GALNT2	148789	428	390	317	236	307	432	653	480	413	469
RAB30	27314	847	615	1401	583	567	1938	744	724	1362	1562
CDCA7	83879	62	122	476	192	58	128	363	20	1307	51
SLC27A1	376497	1578.93	2884	2346	2767	1121	3209	971	906	4410	2216
TIFAB	497189	1	1	0	0	1	3.74	0	0	0	1.66
DLGAP2	9228	3	2	3	2	7	3	3	9	43	3
ACOT8	10005	570.03	827.3	748.5	1082.42	658.84	1025.24	895.6	586.2	1078.81	675.13
VDAC1	7416	2483.98	2012.95	1764	1849.94	1682	1279.98	2376.99	1946.96	1478.95	1266.99
CFC1	55997	5	0	0	0	0	0	0	0	9	0
FBXL4	26235	698	931	1200	701	682	1342	618	456	997	851
SLC27A6	28965	79	42	15	105	55	3	33	5	86	21
RDH14	57665	887	477	631	619	480	621	656	597	682	581
DSCAM	1826	3	1	2	1	2	1	4	5	5	2
FAM45A	404636	680.73	716.61	1255.27	723.64	644.43	780.15	564	570.07	1230.6	617.22
PDHA2	5161	0	0	0	0	0	0	0	0	0	0
ISY1-RAB43	100534599	580.52	878.47	709.53	507.23	575.92	579.25	860.35	555.21	1107.31	449.47
MBTPS1	8720	5396	5529	5399	4328	4356	5436	4979	3492	8233	4499
ARF1	375	13061	18786	11765	10161	9910	9732	11776	9867	17464.03	9845
CASP3	836	708	356	373	510	377	471	545	417	598	381
APC	324	1259	574	1596	746	795	789	1175	1044	1303	610
KIAA0947	23379	2846	1921	2276	1972	1544	1988	1887	1343	3567	1372
SP1	6667	4847	4244	5397	4707	3890	4420	5110	2882	7363	3703
FHAD1	114827	17	11	8	14	9	32.64	14	5.28	46.59	13
RGL4	266747	33.37	47.31	33.32	50.99	25.88	48.67	21.04	5.59	93.06	41.28
LRRC14B	389257	1	1	0	0	0	0	0	1	10	0
SLCO2A1	6578	3934	4991	6684	4559	10714.37	4353	6258	4487	1050	1503
SPINK4	27290	2	0	0	0	1	0	0	0	0	0
NTHL1	4913	230.82	146	359	419.91	221	286.78	261	284	682.88	201
FNDC1	84624	187	17	47	55	107	115	315	112	202	77
OR6C75	390323	0	0	0	0	0	0	0	0	0	0
NRAS	4893	1000	400	498	537	512	510	654	681	843	325
LAS1L	81887	2309	4404	2541	2926	1493	4502	2307	1136	5599	2521
CCL15-CCL14	6359	68.88	242.82	1293.09	949.3	428.12	1248.24	344.41	510.97	45.52	536.67
SCLY	51540	593.87	903.38	738.27	690.92	416.24	724.96	435	436.93	976.57	384.93
TAS2R50	259296	3	1	2	1	0	4	2	1	8	0
TCEAL6	158931	356.79	552.29	350.12	57.1	47.43	474.11	31.51	110.18	804.33	120.66
SPRYD4	283377	309	256	270	348	315	379	234	226	624	181
UBR4	23352	9237.37	10257.93	7619.43	10416.98	8548.13	10636.38	16435.43	7881.17	16459.41	7781.16
ASH2L	9070	1556	1150.79	1329	1063	1036	1321	1362	1058	1885.55	998
CCDC109B	55013	559	990	889	772.02	474	1093	454	291	549	838
FAM127B	26071	1700	1917.8	1800	1670	1185	1784.77	1372	1209	2556.55	1566.62
FNDC3A	22862	3927	3885	3467	2615	2552	3958	3046	2269	7342	3168
CCT6A	908	3743.9	3839	3900	3717	3213	2396	3565.87	2756.88	3073	1802
SYT3	84258	2	2	0	7	1	0	8.38	0	4.41	3
KLHL29	114818	955	832	819	1030	769	629	1780	754	1597	743
GABRA2	2555	1	3	9	3	6	4	9	0	69	19
SIN3A	25942	3435.99	3133.14	3099.26	3103.7	2395.37	3093.25	3060.65	1499.4	4912.19	2070.32
RP11-934B9.3	0	6.08	11.8	4.8	14.41	17.84	2.93	16.75	1.84	0	18.29
FCER1G	2207	395	513	192	241	223	108	263	327	86	84
ENTPD3	956	19	5	96	37	46	128	91	41	84	32
ZRSR2	8233	632.82	993.84	1137.26	869.66	599.13	1228.51	655.93	429.07	1531.29	743.69
SVIL	6840	17625.61	14136.87	9302.03	19265.44	10086.9	12746.19	23187.48	21899.82	24313.96	8584.4
TMEM221	100130519	38	58	151	65	42	95	10	8	386	117
ZBTB8B	728116	0	3	8.13	9.35	4	8	12	3	526.68	7.42
ANKRD40	91369	2791.22	2395	3137	2639	2298.62	2174	2748	2392	2851.08	2260.65
TARSL2	123283	528	588	1236	794	377	779	412	416	1411	606
ACE	1636	149	201	191	290	452	841.98	220	308	391.19	573
GRHL2	79977	3	0	2	0	38	5	0	3	56	1
GPHA2	170589	6	6	12	3	1	2	0	0	24	1
YPEL3	83719	1776	4425	4566	4205	3082	7873	1858	2108	4839	4809
ZNF687	57592	1219.71	1308.04	1029.44	1212.92	975.35	1113.15	1197.21	933	2218.92	885.26
MYL6B	140465	417.4	775.8	889	807.81	687.61	1037.77	587.84	405	1894.01	549.63
ZNF485	220992	52	100	205	95	53	97	45	35	137	78
PPP1R17	10842	3	4	1	1	25	1	0	1	2	3
HSPB6	126393	23024.73	20415.45	18121.71	5659.87	5828.45	7122.44	12823.92	13593.99	14410.82	5892.92
PPP1R16B	26051	562	475	690	351	464	434	164	1379	464	383
FLG2	388698	73	3	53	8	26	63	25	20	31	29
VAPB	9217	2548	1626	2488	2204	1677	2428	2212	2051	3072.99	1292
FAM102B	284611	630	388	777	519	480	876	731	589	666	952
PAPLN	89932	2498.09	5008.27	3049.65	3585.22	4270.36	2344.98	1622.27	1245.66	16594.4	1723.99
WASH4P	100287171	1941.44	3405.88	2834.21	3252.08	1614.74	5019.69	2063.03	868	4474.47	1969.08
KLHDC2	23588	1947	3233	3006	2092	1757	3343	2160	1357	3855	2587
CD109	135228	2089.37	2237.64	1754.16	1599.6	1975.83	2172.6	2270	1519	1134.08	1934.52
IL22RA2	116379	0	0	0	0	0	0	0	0	0	0
TFB2M	64216	212	224	297	268	188	214	205	145	317	138
CLHC1	130162	285	111	171	307	196	224	231	164	236	221
PRMT8	56341	0	0	0	0	1	3	1	0	1	2
MIA-RAB4B	0	3.69	6.46	40.63	20.09	2.65	0	0	0	0	3.61
PHOSPHO1	162466	14	67	28	19	49	21	27	11	12	26
MRPS5	64969	1618.2	2533.78	2366.1	2234.89	1263	2637.51	1543.96	977	2732.46	1780.31
ZNF514	84874	1433.8	4082.22	3487.9	2529.11	1253	3031.49	1022.04	580	3867.54	2757.69
ARSB	411	674	445	542	346	644	418	843	584	561	307
LYSMD3	116068	756	719	1075	564	564	561	644	485	831	602
GOLGA8B	23015	3251.31	9095.09	5134.62	7997.7	5142.8	11499.69	9262.46	4177.87	19343.26	4826.3
ARRDC3	57561	645	8767	3900	4611	2100	6393	1119	1167	1499	4215
RIT2	6014	0	0	0	0	1	0	0	0	1	0
OR51I2	390064	0	0	1	0	0	0	2	0	1	0
CMTM4	146223	1074	917	986	843	502	884	1486	1150	1075	606
RGPD8	84220	340.86	725.39	388.72	571.26	285.82	506.21	264.82	160.17	494.81	442.52
LILRA4	23547	1	1.87	2	0	0	0	2	0	0	0
TSSC1	7260	456	367	361	244	276	394	322	411	454	344
SIRPG	55423	11	3	2	13	5	5	4	2	3	0
ZNF717	100131827	115	122	180	93	99	246	95	139	275	80
AC091801.1	0	1	0	0	12	2	1	0	2	25	0
SEC23B	10483	1305	830	853	680	730	578	803	659	1099	399
CYP4A11	1579	3	3	7	5	4	9	3	3	0	2
CTD-2192J16.24	0	0	0	0	0	0	0	0	0	0	0
LNPEP	4012	1753.6	1641.85	1444.02	1323.88	1212.21	1684.54	2088.19	1611.31	1861.1	1476.34
TRABD2B	388630	268	178.75	283.56	163.58	132	151.39	141.9	299.47	69.69	136.42
CARNS1	57571	368	93.93	298	118	111	191	69	95	122	105.01
STK17A	9263	471	313	560	472	395	496	424	511	518	364
ADPRM	56985	269	628	757	343	264	427	324	177	551	309
CDH24	64403	627	1091	1188	2485	1254	983	640	431	1874	838
SLC29A3	55315	352	465	665	674	357	609	228	197	732	382
SLC35E3	55508	283	169	294.49	181	219	315	243	191.16	509.29	245
HIST1H4A	8294	0	2	0	0	1	1	0	0	0	1
LRRC4	64101	55	46	10	387	822	63	292	53	39	32
DAGLB	221955	406	648	971	903	653	768	578	363	867	484
XPNPEP2	7512	429	1276	142	161	107	56	109	283	12	72
THEM6	51337	344	187	353	415	406	354	164	355	643.02	192
ANKDD1B	728780	14	15	20	60	18	28	24	19	47	18
BPY2B	9083	0	0	0	0	0	0	0	0	0	0
TIMP2	7077	31434.71	28205	30551.23	37193.98	33587.87	34404	37634	33444.99	56534.69	43006.72
DDX42	11325	5536	7588	5303	4913	4539	6532	5848	3924	8978	4396.83
DUT	1854	3105.96	2772.93	2671.73	2419.04	1763.02	3440.64	1669.58	1456.61	3652.2	2310.56
DYNC1LI2	1783	6820.9	7766.32	7013.15	5212.99	5169.66	7389.82	7537.2	5127.85	8803.06	6398.71
CLEC5A	23601	37	12	23.77	8	39	29	49	4	11	9
FAM115C	285966	216.73	1063.74	671.6	259.34	163.99	422.41	204.18	113.91	419.07	333.98
CTR9	9646	1582.01	994.07	1413	2104.02	1327.01	1143.03	2230.04	1109	2921.04	660
C17orf97	400566	180	33	40.55	52	48	167	71.55	230.26	293.23	95.96
PDSS1	23590	151.38	97.53	133.13	70.69	83.74	125.47	107.29	62.1	163.31	81.03
MARVELD3	91862	16.88	21.11	9.08	21.45	24.21	22.63	6.46	1	26.67	10.06
GCNT4	51301	79	24	61	68	44	41	87	106	110	44
VCX3B	425054	1.25	3	3	3.52	4	0	4	0	0	2
CEP78	84131	948	1005	1256	806	464	1370	622	412	1925	894
SEH1L	81929	1124.97	1307.8	1103.88	787.87	864	1123.55	840.68	598	896.75	870.9
SMAD4	4089	4225.93	4697	4681.41	3552.07	3044	4809.1	3930.7	2680.68	5272.03	3630
ZNF865	100507290	1368	1069	955	1349	881	1354	1272	777	1896	909
HMCN1	83872	107	143	303	139	272	283	333	157	203	561
OR6B3	150681	0	0	0	0	2	0	0	0	0	0
NEGR1	257194	1252	1033.91	2339	475	1196	1550	526	1267	107	1707.7
RP11-156E8.1	0	104.1	116.74	45.44	41.1	73.6	178.59	28.43	30.68	227.39	66.28
CTSS	1520	368	206	229	286	389	273	176	266	153	236
CDCA7L	55536	505.17	559.72	649.26	654.7	308.83	1134.73	378.89	170.9	913.23	1019.82
TRIM63	84676	126	4	41	205	177	27	99	56	110	28
CELA3A	10136	87	93	33.73	94	77	111.91	5	64	103.04	0
FAM170A	340069	0	0	0	0	2	1	1	2	3	0
HIST3H2BB	128312	0	4	11	3	1	8	0	0	3	3
SPTY2D1	144108	919.57	555.5	814	719.56	534	421	616	447.69	884.44	343.97
MARK4	57787	1221	1879	1312	1311	1303	1316	1347	894	1861	1158
FXYD5	53827	769	2304	2297	2730	1858.99	1688	1191	1079	5375	1168
KRTAP3-1	83896	0	0	1	0	0	0	0	0	0	0
NUFIP2	57532	3051	4218	4067	3587	2313	3585	3121	1835	3226	3238
RASAL1	8437	0	1	1	3	23	1	2	1	48	5
UBE2M	9040	1116	1319	1114	1333	1040	1113	1191	984	1381	936
ADCYAP1	116	99	6	54.55	6	3.66	324.23	1	40	5	186.2
KIAA1211	57482	65	64	74	323	340	84	234	86	100	112
CD38	952	59	11	13	22	27	24	27	47	53	18
WDR96	80217	88	78	132	37	51	92	28	23	273	92
S100A7L2	645922	0	0	0	0	0	0	0	0	0	0
IRAK3	11213	1549	1612	1854	711	935	958	785	1029	583	1485
COMT	1312	1796	2682.68	1829	2173	2179	1672	2063	2063	2399.36	1552
RPAP2	79871	783	603	1094	836	623	895	758	518	1063	628
PSMA7	5688	3343	4292	2967	2710	2589	2150	2664	2622	3464	2103
ILDR1	286676	1	0	1	2	7	0	0	0	14	1
AQPEP	0	3	13	4	9	7	13	10	16	4	18
KIAA0196	9897	1662	689.85	1089.55	1199.91	1342.98	1020.48	1212.94	1200	1558.59	713
PDCD5	9141	1655	3049	1813	1236	937	2535	1389	976	2540	1792
SYPL1	6856	4231	3714	4636	3919	3704	3843	4644	3515.97	4221	3762
TSNARE1	203062	709	1197	794	742	521	1696	390	368	2137	718
FAM73A	374986	612	694	692	431	500	754	581	435	901	567
DHRS3	9249	803	2008	995	976	2323	2049	1109	822	1069	1557
MRPS7	51081	1027.56	828.28	800.62	1150.11	775	1054.78	751.53	865	1464.06	620.79
LRRC53	0	0	0	0	0	0	2	0	0	5	0
ELL	8178	1220.89	2699.89	1101.4	1021.54	1045.32	1272.38	894.67	557	1775.04	989.73
CD47	961	2540	4820	3143	2111	1783	4417	2077	2161	3573	3121
VAMP7	6845	422	360.5	451	296.5	505.5	406	472	590	299	335.5
MTHFD2	10797	1830.92	4898.64	5097.76	882.96	1413.02	890.37	2034.42	1307.67	1324.57	1186.52
IQSEC2	23096	634	809	720	810	677	828	791	682	1436.99	627
C1orf115	79762	555	737	1535	1274	1126	1484	654	629	732	524
CTD-2105E13.6	0	0	4.53	1.09	0	1.53	0	0	0	4.39	1
NFU1	27247	638	660	677	603	641	584	577	721	852	464
MAP1LC3B2	643246	16.4	49.21	13.13	19.86	7.08	28.43	10.62	34.02	16.56	27.76
FAM49A	81553	979	1346	1363	797	601	1132	761	1076	861.97	1298
CRP	1401	6	22	71	63	51	7	6	43	3	0
NMRAL1	57407	681	700	528	577	659	819	552	575	1308	394
CSNK1E	1454	5129.58	11606.69	6807.31	7457.4	5151.29	9372.11	5340.76	3004.7	9945.31	8323.27
ASB18	401036	0	0	0	0	0	1	0	1	0	0
GTPBP8	29083	232.89	223.93	325.93	244.77	192	200.83	236	143	292.66	173
RTP2	344892	0	0	0	0	1	1	0	0	0	0
KIAA0408	9729	294.69	419.85	446.52	252.8	130.22	619.54	284.69	134.29	249.37	593.38
NAP1L2	4674	543	164	459	213	107	240	112	121	565	128
SNX11	29916	535	463	673	655	471	528	486	497	759	343
TAS2R41	259287	0	0	0	0	0	0	0	0	0	0
ZNF720	124411	383	483	552	354	449	507	408	392	546.88	410
WNT1	7471	0	0	0	0	0	2	0	0	2	3
ANGPTL3	27329	7	30	7	7	5	17	7	2	6	31
FAM81B	153643	1	2	0	0	3	3	2	0	0	0
OR2A14	135941	0	0	1	1	1	2	0	0	2	0
BCL2L1	598	1799	1434	1943	1657	2096	1541	2054	1982	1867	972
WDR47	22911	772	468	1141	851	759	660	890	586	877	674
PFN3	345456	0	0	0	0	0	0	0	0	0	0
GTF2IRD2	84163	1257.68	1341.97	1311.6	709.83	976.98	2732.27	1371.99	1294.18	3140.75	1268.8
ITPR3	3710	2019.29	5182.2	3798.52	2591.11	1916.52	2085.37	1744.46	1608.4	4438.02	1648.66
ZNF831	128611	55	32	37	28	15	17	10	29	17	27
CYP4F2	8529	4.15	0	0	3	1	7.09	0	0	21.19	1
